#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:36 out:35 type:P dur:2 cpbdur:2 q:29.03 aq:20.72 tex:6831 mv:3123 misc:622 imb:203 pmb:153 smb:564 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:29.03 aq:23.02 tex:316 mv:83 misc:201 imb:2 pmb:15 smb:903 d:- ref:0 ;
in:38 out:37 type:P dur:2 cpbdur:2 q:29.03 aq:20.72 tex:8931 mv:3303 misc:534 imb:218 pmb:148 smb:554 d:- ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:29.03 aq:20.61 tex:552 mv:230 misc:258 imb:3 pmb:34 smb:883 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:29.03 aq:21.97 tex:74 mv:17 misc:197 imb:0 pmb:4 smb:916 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:29.03 aq:20.05 tex:15310 mv:5051 misc:279 imb:565 pmb:190 smb:165 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:29.03 aq:20.78 tex:5046 mv:2802 misc:728 imb:136 pmb:205 smb:579 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:29.03 aq:20.15 tex:9999 mv:3303 misc:578 imb:204 pmb:182 smb:534 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:29.03 aq:19.62 tex:6947 mv:2531 misc:602 imb:128 pmb:174 smb:618 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:29.03 aq:20.03 tex:197 mv:45 misc:222 imb:1 pmb:7 smb:912 d:- ref:0 ;
