#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:35 type:b dur:2 cpbdur:2 q:29.03 aq:24.49 tex:49 mv:3 misc:140 imb:0 pmb:1 smb:919 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:10 mv:46 misc:168 imb:0 pmb:10 smb:910 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:29.03 aq:16.95 tex:2195 mv:236 misc:233 imb:15 pmb:9 smb:896 d:- ref:0 ;
in:41 out:38 type:P dur:2 cpbdur:2 q:29.03 aq:18.19 tex:5181 mv:506 misc:249 imb:46 pmb:15 smb:859 d:- ref:0 ;
in:39 out:39 type:B dur:2 cpbdur:2 q:29.03 aq:13.77 tex:2901 mv:549 misc:222 imb:15 pmb:34 smb:871 d:- ref:0 ;
in:38 out:40 type:b dur:2 cpbdur:2 q:29.03 aq:15.09 tex:174 mv:142 misc:204 imb:3 pmb:21 smb:896 d:- ref:0 ;
in:40 out:41 type:b dur:2 cpbdur:2 q:29.03 aq:15.53 tex:152 mv:171 misc:221 imb:3 pmb:25 smb:892 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:29.03 aq:14.29 tex:6578 mv:820 misc:258 imb:25 pmb:44 smb:851 d:- ref:0 ;
in:46 out:43 type:P dur:2 cpbdur:2 q:29.03 aq:16.81 tex:6410 mv:714 misc:284 imb:37 pmb:41 smb:842 d:- ref:0 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:29.03 aq:19.65 tex:126 mv:95 misc:259 imb:0 pmb:26 smb:894 d:- ref:0 ;
